name,brand,image
ASOS DESIGN - Robe longue coupe en biais en satin avec détails en dentelle - Vert olive,ASOS DESIGN,images.asos-media.com/products/asos-design-robe-longue-coupe-en-biais-en-satin-avec-details-en-dentelle-vert-olive/207185866-1-olivegreen
ASOS DESIGN - T-shirt en maille - Moka,ASOS DESIGN,images.asos-media.com/products/asos-design-t-shirt-en-maille-moka/208147586-1-mocha
ASOS DESIGN - Robe longue à volants étagés et manches ange en tissu effet dévoré - Imprimé fleurs,ASOS DESIGN,images.asos-media.com/products/asos-design-robe-longue-a-volants-etages-et-manches-ange-en-tissu-effet-devore-imprime-fleurs/207081725-1-boldfloralprint
ASOS DESIGN Tall - Jean droit à taille mi-haute - Noir délavé,ASOS Tall,images.asos-media.com/products/asos-design-tall-jean-droit-a-taille-mi-haute-noir-delave/207721733-1-washedblack
Topshop - Blazer en sergé à double boutonnage et ceinture - Anthracite,Topshop,images.asos-media.com/products/topshop-blazer-en-serge-a-double-boutonnage-et-ceinture-anthracite/207223432-1-charcoal
ASOS DESIGN - Robe plissée longue à taille croisée et manches longues avec col montant - Kaki,ASOS DESIGN,images.asos-media.com/products/asos-design-robe-plissee-longue-a-taille-croisee-et-manches-longues-avec-col-montant-kaki/208015573-1-khaki
Miss Selfridge Petite - Pantalon ajusté coupe ample - Noir,Miss Selfridge Petite,images.asos-media.com/products/miss-selfridge-petite-pantalon-ajuste-coupe-ample-noir/206729998-1-black
ASOS DESIGN - T-shirt oversize et pantalon ample à imprimé Breakfast Lovers,ASOS DESIGN,images.asos-media.com/products/asos-design-t-shirt-oversize-et-pantalon-ample-a-imprime-breakfast-lovers/207334717-1-white
ASOS DESIGN - Top bandage à bretelles dos nu - Olive,ASOS DESIGN,images.asos-media.com/products/asos-design-top-bandage-a-bretelles-dos-nu-olive/207595253-1-olive
ASOS DESIGN - Robe longue coupée en biais avec manches accentuées et taille froncée - Doré,ASOS DESIGN,images.asos-media.com/products/asos-design-robe-longue-coupee-en-biais-avec-manches-accentuees-et-taille-froncee-dore/207737022-1-gold
Stradivarius - Top sculptant à manches longues et col montant - Bordeaux,Stradivarius,images.asos-media.com/products/stradivarius-top-sculptant-a-manches-longues-et-col-montant-bordeaux/207876758-1-burgundy
